date,unemployment rate (%),inflation rate (%),gdp per capita,quarterly real GDP,quarterly gdp growth rate (%)
"January 05, 2022",3.6,8.581511485,74737,19699.465,-0.14422708
"January 04, 2022",3.6,8.258629336,74737,19699.465,-0.14422708
"January 03, 2022",3.6,8.542455548,73289,19727.918,-0.39569248
"January 02, 2022",3.8,7.87106392,73289,19727.918,-0.39569248
"January 01, 2022",4.0,7.479872408,73289,19727.918,-0.39569248
"January 12, 2021",3.9,7.036402807,72171,19806.29,1.680778266
"January 11, 2021",4.2,6.809002873,72171,19806.29,1.680778266
"January 10, 2021",4.6,6.221868926,72171,19806.29,1.680778266
"January 09, 2021",4.7,5.390348832,69824,19478.893,0.570948111
"January 08, 2021",5.2,5.251271591,69824,19478.893,0.570948111
"January 07, 2021",5.4,5.365475277,69824,19478.893,0.570948111
"January 06, 2021",5.9,5.391451388,68493,19368.31,1.64074654
"January 05, 2021",5.8,4.992706616,68493,19368.31,1.64074654
"January 04, 2021",6.0,4.159694803,68493,19368.31,1.64074654
"January 03, 2021",6.0,2.619762496,66390,19055.655,1.533889627
"January 02, 2021",6.2,1.676215179,66390,19055.655,1.533889627
"January 01, 2021",6.4,1.399769732,66390,19055.655,1.533889627
"January 12, 2020",6.7,1.362005563,64696,18767.778,1.115276766
"January 11, 2020",6.7,1.174535768,64696,18767.778,1.115276766
"January 10, 2020",6.9,1.182066129,64696,18767.778,1.115276766
"January 09, 2020",7.9,1.371324908,63701,18560.774,7.547534636
"January 08, 2020",8.4,1.309645352,63701,18560.774,7.547534636
"January 07, 2020",10.2,0.986081843,63701,18560.774,7.547534636
"January 06, 2020",11.0,0.645733011,58722,17258.205,-8.937250501
"January 05, 2020",13.2,0.117926351,58722,17258.205,-8.937250501
"January 04, 2020",14.7,0.329096715,58722,17258.205,-8.937250501
"January 03, 2020",4.4,1.539326963,64794,18951.992,-1.303582746
"January 02, 2020",3.5,2.334873523,64794,18951.992,-1.303582746
"January 01, 2020",3.5,2.486572003,64794,18951.992,-1.303582746
"January 12, 2019",3.6,2.285129716,65501,19202.31,0.469097618
"January 11, 2019",3.6,2.051277948,65501,19202.31,0.469097618
"January 10, 2019",3.6,1.764042968,65501,19202.31,0.469097618
"January 09, 2019",3.5,1.711304446,65023,19112.653,0.685498791
"January 08, 2019",3.7,1.749779935,65023,19112.653,0.685498791
"January 07, 2019",3.7,1.811464727,65023,19112.653,0.685498791
"January 06, 2019",3.6,1.648484655,64465,18982.528,0.792924408
"January 05, 2019",3.6,1.790228437,64465,18982.528,0.792924408
"January 04, 2019",3.6,1.996439733,64465,18982.528,0.792924408
"January 03, 2019",3.8,1.86252277,63667,18833.195,0.59779029
"January 02, 2019",3.8,1.520135299,63667,18833.195,0.59779029
"January 01, 2019",4.0,1.551235133,63667,18833.195,0.59779029
"January 12, 2018",3.9,1.910158829,63162,18721.281,0.223141835
"January 11, 2018",3.8,2.176601073,63162,18721.281,0.223141835
"January 10, 2018",3.8,2.522469875,63162,18721.281,0.223141835
"January 09, 2018",3.7,2.276972257,62786,18679.599,0.481952559
"January 08, 2018",3.8,2.699180031,62786,18679.599,0.481952559
"January 07, 2018",3.8,2.949515087,62786,18679.599,0.481952559
"January 06, 2018",4.0,2.87154782,62377,18590.004,0.833910909
"January 05, 2018",3.8,2.801011709,62377,18590.004,0.833910909
"January 04, 2018",4.0,2.462743921,62377,18590.004,0.833910909
"January 03, 2018",4.0,2.35971145,61397,18436.262,0.762854036
"January 02, 2018",4.1,2.21179546,61397,18436.262,0.762854036
"January 01, 2018",4.0,2.070507599,61397,18436.262,0.762854036
"January 12, 2017",4.1,2.10908247,60676,18296.685,0.940399838
"January 11, 2017",4.2,2.202582946,60676,18296.685,0.940399838
"January 10, 2017",4.2,2.041128682,60676,18296.685,0.940399838
"January 09, 2017",4.3,2.232963873,59787,18126.226,0.719149991
"January 08, 2017",4.4,1.938974208,59787,18126.226,0.719149991
"January 07, 2017",4.3,1.727978512,59787,18126.226,0.719149991
"January 06, 2017",4.3,1.633487968,59172,17996.802,0.559764823
